instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hours
1,2011-01-01,Spring,0,1,0,0,6,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,9.489166666666666
2,2011-01-01,Spring,0,1,1,0,6,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,9.489166666666666
3,2011-01-01,Spring,0,1,2,0,6,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,9.489166666666666
4,2011-01-01,Spring,0,1,3,0,6,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,9.489166666666666
5,2011-01-01,Spring,0,1,4,0,6,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,9.489166666666666
6,2011-01-01,Spring,0,1,5,0,6,0,Mist,0.24,0.2576,0.75,0.0896,0,1,1,9.489166666666666
7,2011-01-01,Spring,0,1,6,0,6,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,9.489166666666666
8,2011-01-01,Spring,0,1,7,0,6,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,9.489166666666666
9,2011-01-01,Spring,0,1,8,0,6,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,9.489166666666666
10,2011-01-01,Spring,0,1,9,0,6,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,9.489166666666666
11,2011-01-01,Spring,0,1,10,0,6,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,9.489166666666666
12,2011-01-01,Spring,0,1,11,0,6,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,9.489166666666666
13,2011-01-01,Spring,0,1,12,0,6,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,9.489166666666666
14,2011-01-01,Spring,0,1,13,0,6,0,Mist,0.46,0.4545,0.72,0.2985,47,47,94,9.489166666666666
15,2011-01-01,Spring,0,1,14,0,6,0,Mist,0.46,0.4545,0.72,0.2836,35,71,106,9.489166666666666
