season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,day,daylight_hours
1,0,0,6,0,1,0.24,0.81,0.0,16,1,9.489166666666666
1,1,0,6,0,1,0.22,0.8,0.0,40,1,9.489166666666666
1,2,0,6,0,1,0.22,0.8,0.0,32,1,9.489166666666666
1,3,0,6,0,1,0.24,0.75,0.0,13,1,9.489166666666666
1,4,0,6,0,1,0.24,0.75,0.0,1,1,9.489166666666666
1,5,0,6,0,2,0.24,0.75,0.0896,1,1,9.489166666666666
1,6,0,6,0,1,0.22,0.8,0.0,2,1,9.489166666666666
1,7,0,6,0,1,0.2,0.86,0.0,3,1,9.489166666666666
1,8,0,6,0,1,0.24,0.75,0.0,8,1,9.489166666666666
1,9,0,6,0,1,0.32,0.76,0.0,14,1,9.489166666666666
1,10,0,6,0,1,0.38,0.76,0.2537,36,1,9.489166666666666
1,11,0,6,0,1,0.36,0.81,0.2836,56,1,9.489166666666666
1,12,0,6,0,1,0.42,0.77,0.2836,84,1,9.489166666666666
1,13,0,6,0,2,0.46,0.72,0.2985,94,1,9.489166666666666
1,14,0,6,0,2,0.46,0.72,0.2836,106,1,9.489166666666666
1,15,0,6,0,2,0.44,0.77,0.2985,110,1,9.489166666666666
1,16,0,6,0,2,0.42,0.82,0.2985,93,1,9.489166666666666
1,17,0,6,0,2,0.44,0.82,0.2836,67,1,9.489166666666666
1,18,0,6,0,3,0.42,0.88,0.2537,35,1,9.489166666666666
1,19,0,6,0,3,0.42,0.88,0.2537,37,1,9.489166666666666
1,20,0,6,0,2,0.4,0.87,0.2537,36,1,9.489166666666666
1,21,0,6,0,2,0.4,0.87,0.194,34,1,9.489166666666666
1,22,0,6,0,2,0.4,0.94,0.2239,28,1,9.489166666666666
1,23,0,6,0,2,0.46,0.88,0.2985,39,1,9.489166666666666
1,0,0,0,0,2,0.46,0.88,0.2985,17,2,9.500555555555556
1,1,0,0,0,2,0.44,0.94,0.2537,17,2,9.500555555555556
1,2,0,0,0,2,0.42,1.0,0.2836,9,2,9.500555555555556
1,3,0,0,0,2,0.46,0.94,0.194,6,2,9.500555555555556
1,4,0,0,0,2,0.46,0.94,0.194,3,2,9.500555555555556
1,6,0,0,0,3,0.42,0.77,0.2985,2,2,9.500555555555556
1,7,0,0,0,2,0.4,0.76,0.194,1,2,9.500555555555556
1,8,0,0,0,3,0.4,0.71,0.2239,8,2,9.500555555555556
1,9,0,0,0,2,0.38,0.76,0.2239,20,2,9.500555555555556
1,10,0,0,0,2,0.36,0.81,0.2239,53,2,9.500555555555556
1,11,0,0,0,2,0.36,0.71,0.2537,70,2,9.500555555555556
1,12,0,0,0,2,0.36,0.66,0.2985,93,2,9.500555555555556
1,13,0,0,0,2,0.36,0.66,0.1343,75,2,9.500555555555556
1,14,0,0,0,3,0.36,0.76,0.194,59,2,9.500555555555556
1,15,0,0,0,3,0.34,0.81,0.1642,74,2,9.500555555555556
1,16,0,0,0,3,0.34,0.71,0.1642,76,2,9.500555555555556
1,17,0,0,0,1,0.34,0.57,0.194,65,2,9.500555555555556
1,18,0,0,0,2,0.36,0.46,0.3284,53,2,9.500555555555556
1,19,0,0,0,1,0.32,0.42,0.4478,30,2,9.500555555555556
1,20,0,0,0,1,0.3,0.39,0.3582,22,2,9.500555555555556
1,21,0,0,0,1,0.26,0.44,0.3284,31,2,9.500555555555556
1,22,0,0,0,1,0.24,0.44,0.2985,9,2,9.500555555555556
1,23,0,0,0,1,0.22,0.47,0.1642,8,2,9.500555555555556
1,0,0,1,1,1,0.22,0.44,0.3582,5,3,9.513333333333334
1,1,0,1,1,1,0.2,0.44,0.4179,2,3,9.513333333333334
1,4,0,1,1,1,0.16,0.47,0.3881,1,3,9.513333333333334
1,5,0,1,1,1,0.16,0.47,0.2836,3,3,9.513333333333334
1,6,0,1,1,1,0.14,0.5,0.3881,30,3,9.513333333333334
1,7,0,1,1,1,0.14,0.5,0.194,64,3,9.513333333333334
1,8,0,1,1,1,0.14,0.5,0.2836,154,3,9.513333333333334
1,9,0,1,1,1,0.16,0.43,0.3881,88,3,9.513333333333334
1,10,0,1,1,1,0.18,0.43,0.2537,44,3,9.513333333333334
1,11,0,1,1,1,0.2,0.4,0.3284,51,3,9.513333333333334
1,12,0,1,1,1,0.22,0.35,0.2985,61,3,9.513333333333334
1,13,0,1,1,1,0.24,0.35,0.2836,61,3,9.513333333333334
1,14,0,1,1,1,0.26,0.3,0.2836,77,3,9.513333333333334
1,15,0,1,1,1,0.26,0.3,0.2537,72,3,9.513333333333334
1,16,0,1,1,1,0.26,0.3,0.2537,76,3,9.513333333333334
1,17,0,1,1,1,0.24,0.3,0.2239,157,3,9.513333333333334
1,18,0,1,1,1,0.24,0.32,0.1045,157,3,9.513333333333334
1,19,0,1,1,1,0.2,0.47,0.0,110,3,9.513333333333334
1,20,0,1,1,1,0.2,0.47,0.1045,52,3,9.513333333333334
