iter	RMSE
0	175.8081077
1	171.0049903
2	166.5754364
3	162.5326904
4	158.7608379
5	155.3248536
6	152.5610127
7	149.8607266
8	147.1392452
9	144.9283834
10	142.9465302
11	141.0599667
12	139.4218213
13	137.450002
14	135.5063965
15	133.790181
16	132.2155232
17	130.6839539
18	129.3314033
19	127.9167843
20	126.587865
21	125.1579784
22	123.8108197
23	122.4577284
24	121.3458882
25	120.180218
26	119.1832177
27	117.9173616
28	116.8296524
29	115.7890319
30	114.7296503
31	113.742925
32	112.9007799
33	112.1634428
34	111.3151685
35	110.3673158
36	109.5524883
37	108.9400832
38	108.3607421
39	107.699395
40	106.7802359
41	106.1277344
42	105.6029909
43	104.9561815
44	104.5100832
45	104.0606888
46	103.5501512
47	103.1374803
48	102.6590012
49	102.2073363
50	101.563473
51	101.24917
52	100.6435719
53	100.3371069
54	99.58190744
55	99.19612637
56	98.88156902
57	98.25560838
58	97.94439847
59	97.29292273
60	96.94057538
61	96.67064085
62	96.38557726
63	95.79473167
64	95.4501581
65	95.15360355
66	94.8905313
67	94.70922358
68	94.32741942
69	94.106703
70	93.76763367
71	93.22035234
72	92.9919215
73	92.66969918
74	92.46514672
75	92.14111383
76	91.86829605
77	91.56553387
78	91.27416832
79	90.82434114
80	90.6635915
81	90.20629336
82	89.94838358
83	89.79245471
84	89.55740309
85	89.32132779
86	89.01256078
87	88.69903402
88	88.56237811
89	88.34924129
90	88.21476347
91	87.95737333
92	87.68351457
93	87.39451736
94	87.19324992
95	87.0402324
96	86.82953338
97	86.72175521
98	86.5712285
99	86.36583285
100	86.13257139
101	85.75735109
102	85.639516
103	85.53019646
104	85.41531555
105	85.22903583
106	84.98454995
107	84.79339762
108	84.54866387
109	84.33689061
110	84.1751922
111	84.02083864
112	83.89508135
113	83.80069527
114	83.6666558
115	83.53674044
116	83.40734164
117	83.28164456
118	83.19604235
119	83.04269794
120	82.87639298
121	82.71129357
122	82.53347336
123	82.37988791
124	82.28071949
125	82.18483419
126	81.97788889
127	81.81714802
128	81.67812047
129	81.41987611
130	81.26751069
131	81.17809995
132	81.08635057
133	81.00365789
134	80.86949703
135	80.78320338
136	80.71392126
137	80.55677308
138	80.42595378
139	80.35080327
140	80.24284802
141	80.14834437
142	79.98924721
143	79.87020194
144	79.68446033
145	79.5835028
146	79.50974332
147	79.4243521
148	79.35364248
149	79.20244984
150	79.1288051
151	78.99633083
152	78.86416294
153	78.77805984
154	78.62806445
155	78.52525395
156	78.4608218
157	78.34093347
158	78.202768
159	78.13948097
160	78.0742552
161	77.99075856
162	77.89678663
163	77.82800073
164	77.71816899
165	77.63579108
166	77.52861249
167	77.43855968
168	77.31647242
169	77.24283373
170	77.17397542
171	77.08251934
172	77.01836957
173	76.88829132
174	76.80659851
175	76.69893739
176	76.6344656
177	76.56464653
178	76.50751669
179	76.38161423
180	76.26208634
181	76.20143331
182	76.13649375
183	76.05981591
184	75.99378483
185	75.90808194
186	75.8015338
187	75.69868596
188	75.64248363
189	75.53764157
190	75.43776996
191	75.30896253
192	75.21488849
193	75.10657099
194	75.00536962
195	74.92684417
196	74.84716699
197	74.76054075
198	74.69305559
199	74.60104339
200	74.52234769
201	74.42365571
202	74.35725219
203	74.27140897
204	74.17644467
205	74.06462344
206	73.98049151
207	73.92844255
208	73.85908461
209	73.78404285
210	73.69301662
211	73.64186662
212	73.54586467
213	73.47738133
214	73.42283413
215	73.36771545
216	73.31956568
217	73.2770268
218	73.20705476
219	73.12668841
220	73.06329913
221	72.98113773
222	72.89075265
223	72.81872852
224	72.76951165
225	72.70515826
226	72.65053904
227	72.57798953
228	72.50622494
229	72.42734497
230	72.38268961
231	72.3394484
232	72.24503944
233	72.18378993
234	72.10881591
235	72.05560507
236	71.97653153
237	71.90356776
238	71.81895905
239	71.74163422
240	71.66038857
241	71.59951731
242	71.5717352
243	71.48835061
244	71.42924042
245	71.38402994
246	71.31697259
247	71.24603858
248	71.19193213
249	71.12060084
250	71.0761738
251	71.00750744
252	70.93913422
253	70.87204946
254	70.81697065
255	70.75787342
256	70.70837411
257	70.66088133
258	70.60336432
259	70.54685779
260	70.47522684
261	70.42933835
262	70.38019102
263	70.29581706
264	70.25274645
265	70.18766685
266	70.162842
267	70.10336779
268	70.07093735
269	70.00703264
270	69.96063725
271	69.8983433
272	69.85455752
273	69.83017609
274	69.77999581
275	69.73071048
276	69.70460259
277	69.65805574
278	69.59784646
279	69.55712624
280	69.50225332
281	69.45603193
282	69.39015433
283	69.3402959
284	69.28233482
285	69.25403069
286	69.20266451
287	69.16167394
288	69.09102873
289	69.03691567
290	68.98987658
291	68.94978162
292	68.9297889
293	68.88177408
294	68.83388844
295	68.78721809
296	68.76457093
297	68.71351479
298	68.65506921
299	68.60757823
300	68.56557639
301	68.49335649
302	68.451746
303	68.40688187
304	68.34148209
305	68.28842326
306	68.23573301
307	68.19866645
308	68.15156207
309	68.09502453
310	68.03962241
311	67.98786241
312	67.93893453
313	67.89625928
314	67.85531184
315	67.80026504
316	67.76275782
317	67.72061899
318	67.67776833
319	67.63767929
320	67.59812505
321	67.5485888
322	67.50097329
323	67.45976081
324	67.41308694
325	67.37760195
326	67.32247316
327	67.29488452
328	67.2509427
329	67.20107673
330	67.15150546
331	67.09621957
332	67.05090587
333	66.99249687
334	66.95592399
335	66.92217007
336	66.88720296
337	66.83710117
338	66.80542774
339	66.77584361
340	66.72684693
341	66.67573602
342	66.6406727
343	66.58619091
344	66.53740686
345	66.49584205
346	66.44023787
347	66.38691154
348	66.34685691
349	66.31769794
350	66.24809472
351	66.20170524
352	66.15061383
353	66.12500381
354	66.08137241
355	66.04333895
356	66.00631975
357	65.97879182
358	65.93339745
359	65.90632909
360	65.87375683
361	65.82451879
362	65.79988887
363	65.76738751
364	65.71008072
365	65.67743496
366	65.64616894
367	65.60990548
368	65.56084892
369	65.50191882
370	65.45220891
371	65.40367415
372	65.35317432
373	65.30652947
374	65.2602768
375	65.21457908
376	65.15839065
377	65.1149979
378	65.08172813
379	65.03978214
380	64.98718459
381	64.94686597
382	64.91197052
383	64.86332375
384	64.81947648
385	64.786123
386	64.73376466
387	64.69056691
388	64.65600178
389	64.61159712
390	64.56882539
391	64.5310894
392	64.49808112
393	64.45347717
394	64.41967512
395	64.38481565
396	64.34805801
397	64.30962731
398	64.27939317
399	64.23601495
400	64.20038706
401	64.16658329
402	64.13205619
403	64.09512852
404	64.04816495
405	64.00730844
406	63.97197727
407	63.92914512
408	63.88531478
409	63.85221912
410	63.82084017
411	63.79598987
412	63.75484358
413	63.71467421
414	63.65798825
415	63.62967659
416	63.59155496
417	63.5554807
418	63.5260031
419	63.49281977
420	63.43815813
421	63.39287671
422	63.36581792
423	63.33658075
424	63.31067799
425	63.26431559
426	63.24496837
427	63.22043005
428	63.19122131
429	63.15868327
430	63.11259788
431	63.08555972
432	63.04172403
433	63.0070417
434	62.984995
435	62.94721863
436	62.90537937
437	62.86707478
438	62.82661865
439	62.7944763
440	62.751788
441	62.71480224
442	62.67723373
443	62.63602869
444	62.59875834
445	62.57559375
446	62.54220135
447	62.50741225
448	62.48461893
449	62.44918641
450	62.41371382
451	62.37903945
452	62.33292764
453	62.30354194
454	62.27033651
455	62.2411808
456	62.20327431
457	62.16955743
458	62.13964609
459	62.11320466
460	62.08114526
461	62.03259763
462	62.00663286
463	61.96827927
464	61.938825
465	61.91698753
466	61.88419298
467	61.85467068
468	61.81433242
469	61.79581576
470	61.75503127
471	61.71915354
472	61.6853812
473	61.65952597
474	61.63172534
475	61.60488479
476	61.55761335
477	61.52125338
478	61.490032
479	61.45099091
480	61.4176272
481	61.38691189
482	61.36207298
483	61.32719349
484	61.29728573
485	61.26868352
486	61.2144744
487	61.18329783
488	61.15500836
489	61.11576044
490	61.09792759
491	61.07185038
492	61.03931293
493	61.01525128
494	60.97709904
495	60.94733405
496	60.91837239
497	60.89332406
498	60.87061659
499	60.83417817
500	60.80402983
501	60.78611317
502	60.7587235
503	60.71851703
504	60.69630841
505	60.67330648
506	60.63868649
507	60.61424983
508	60.58867408
509	60.55824416
510	60.52411941
511	60.50140427
512	60.47450267
513	60.44821157
514	60.41932717
515	60.39998168
516	60.37464293
517	60.34233522
518	60.3168482
519	60.28314774
520	60.25449701
521	60.22904589
522	60.20099894
523	60.1743662
524	60.13992951
525	60.11565398
526	60.09122356
527	60.06022788
528	60.03568829
529	60.00077296
530	59.98443884
531	59.96172413
532	59.93352532
533	59.92157867
534	59.88633782
535	59.85755871
536	59.83788658
537	59.80230522
538	59.77183711
539	59.75043827
540	59.72008792
541	59.70449448
542	59.68557705
543	59.65504755
544	59.62298127
545	59.59349635
546	59.56089778
547	59.52863398
548	59.49589154
549	59.47469467
550	59.44710342
551	59.42115886
552	59.39211272
553	59.36286445
554	59.34415429
555	59.31795746
556	59.2859809
557	59.2695787
558	59.25036261
559	59.22211618
560	59.20102627
561	59.18417709
562	59.16539506
563	59.14111073
564	59.11127788
565	59.08675343
566	59.05889306
567	59.01488163
568	58.95877897
569	58.93483816
570	58.92186061
571	58.8981255
572	58.87605403
573	58.84566898
574	58.81566885
575	58.78177695
576	58.75884348
577	58.7444893
578	58.72052196
579	58.68534353
580	58.65890213
