,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day,daylight_hours
0,1,0,0,6,0,1,0.24,0.81,0.0,3,13,16,1,9.489166666666666
1,1,1,0,6,0,1,0.22,0.8,0.0,8,32,40,1,9.489166666666666
37,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,2,9.500555555555556
44,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,2,9.500555555555556
54,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,3,9.513333333333334
67,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,3,9.513333333333334
78,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,4,9.526666666666667
80,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,4,9.526666666666667
85,1,17,0,2,1,1,0.28,0.48,0.2239,10,202,212,4,9.526666666666667
91,1,23,0,2,1,1,0.2,0.69,0.0896,2,9,11,4,9.526666666666667
135,1,21,0,4,1,2,0.22,0.55,0.2239,0,48,48,6,9.556666666666667
138,1,0,0,5,1,2,0.2,0.64,0.194,4,13,17,7,9.573055555555555
153,1,16,0,5,1,2,0.2,0.37,0.1642,5,82,87,7,9.573055555555555
169,1,8,0,6,0,3,0.16,0.93,0.1045,0,15,15,8,9.590277777777779
243,1,12,0,2,1,2,0.2,0.51,0.1045,2,55,57,11,9.6475
249,1,18,0,2,1,3,0.16,0.93,0.1045,1,94,95,11,9.6475
305,1,5,0,5,1,1,0.1,0.54,0.0896,0,8,8,14,9.7125
354,1,6,0,0,0,2,0.26,0.56,0.1642,0,1,1,16,9.759722222222223
364,1,16,0,0,0,1,0.24,0.38,0.2239,22,77,99,16,9.759722222222223
436,1,5,0,4,1,1,0.24,0.6,0.2239,0,6,6,20,9.863333333333333
449,1,18,0,4,1,2,0.26,0.56,0.194,1,184,185,20,9.863333333333333
466,1,11,0,5,1,1,0.22,0.41,0.4627,6,53,59,21,9.891111111111112
533,1,9,0,1,1,1,0.06,0.41,0.0,4,98,102,24,9.978055555555555
578,1,9,0,3,1,3,0.22,0.87,0.2985,3,55,58,26,10.039166666666667
596,1,1,0,5,1,2,0.2,0.75,0.1343,1,2,3,28,10.1025
719,1,8,0,3,1,3,0.22,0.93,0.2239,1,154,155,2,10.269722222222223
